Reference, Quantity, Value, Footprint, Datasheet, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status
C1 ,1,"10uF","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","~"
C2 ,1,"10nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C4 C3 ,2,"100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C5 ,1,"2.2nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
D1 ,1,"GREEN","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
D2 ,1,"YELLOW","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
D3 ,1,"RED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
J1 J2 ,2,"Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
Q1 Q2 ,2,"AO3400A","digikey-footprints:SOT-23-3","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","Discrete Semiconductor Products","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","/product-detail/en/on-semiconductor/2N7002/2N7002NCT-ND/244664","MOSFET N-CH 60V 115MA SOT-23","2N7002NCT-ND","Transistors - FETs, MOSFETs - Single","2N7002","ON Semiconductor","Active"
R1 R15 ,2,"1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R10 ,1,"22k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R11 ,1,"100k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R2 R7 R12 ,3,"470","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R3 R6 ,2,"10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R4 R5 ,2,"47","Resistor_SMD:R_2512_6332Metric_Pad1.52x3.35mm_HandSolder","~"
R9 R8 R13 R14 ,4,"4.7k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
TH1 ,1,"MF52 10K","digikey-footprints:Terminal_Block_D1.3mm_P5mm","~"
U1 ,1,"MPU-6050","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","https://store.invensense.com/datasheets/invensense/MPU-6050_DataSheet_V3%204.pdf"
U2 ,1,"LMV358","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lmv324.pdf"
U3 ,1,"74AHC1G08","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"